taxonomy_version,centroid_index,parent_topic_slug,parent_topic_label,subtopic_slug,subtopic_label,description,support_count,support_quality,similarity_min,similarity_p05,similarity_p10,similarity_p25,similarity_median,similarity_mean,recommended_auto_threshold,source_project_law_ids
taxonomy_v2,0,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,alteracao_de_denominacao_de_unioes_de_freguesias,Alteração de denominação de uniões de freguesias,"Propostas que tratam da mudança de nome ou denominação oficial de uniões de freguesias, especialmente após reorganizações administrativas.",15,strong,0.832299,0.832583,0.833484,0.849658,0.860576,0.866556,0.8235,4380;5152;5153;5161;5164;5172;5227;5282;5294;5311;5312;5535;5536;5543;5589
taxonomy_v2,1,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,alteracao_e_delimitacao_de_limites_territoriais_de_freguesias,Alteração e delimitação de limites territoriais de freguesias,"Projetos que propõem mudanças nos limites territoriais entre freguesias e uniões de freguesias, incluindo delimitações e reorganizações administrativas.",26,strong,0.740565,0.822267,0.836811,0.862922,0.874417,0.869914,0.8268,1057;1075;1076;1244;1454;1695;1796;1873;1875;2059;2123;2374;3274;3278;3742;4559;4787;5270;5275;5310;5313;5315;5362;5363;5533;5534
taxonomy_v2,2,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,descentralizacao_e_regionalizacao_dos_servicos_publicos,Descentralização e regionalização dos serviços públicos,"Propostas que abordam a descentralização administrativa, regionalização, deslocalização de serviços públicos e coesão territorial.",22,strong,0.772665,0.776574,0.781496,0.796316,0.826367,0.827823,0.7715,169;1935;1969;1972;2164;2286;2289;2665;2833;2834;2901;2902;2905;3112;3246;375;380;46;78;827;864;977
taxonomy_v2,3,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,elevacao_de_povoacoes_a_categoria_de_vila,Elevação de povoações à categoria de vila,"Propostas legislativas que tratam da elevação de povoações e freguesias à categoria oficial de vila, com fundamentação histórica e cultural.",38,strong,0.783393,0.789128,0.792854,0.811996,0.824919,0.825225,0.7829,1008;1017;1019;1031;1224;1250;1252;1398;1401;1424;1426;1429;1443;1462;1624;1633;1641;1646;1654;1669;1670;1671;1674;1678;1685;1779;1807;1808;211;212;214;2713;392;408;725;730;734;871
taxonomy_v2,4,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,financiamento_e_gestao_financeira_das_autarquias,Financiamento e gestão financeira das autarquias,"Propostas relacionadas com o regime financeiro das autarquias locais, endividamento municipal e gestão territorial.",35,strong,0.771119,0.780872,0.788381,0.812336,0.840085,0.8394,0.7784,1104;1295;1892;2167;2214;2215;2217;2479;2522;2570;2764;279;2858;2980;3050;3062;3090;3095;3107;3144;318;35;3627;3686;3747;422;5221;5238;5346;5505;651;8;87;900;901
taxonomy_v2,5,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",apoio_a_agricultores_e_recuperacao_pos_tempestades,Apoio a Agricultores e Recuperação Pós-Tempestades,Propostas que recomendam medidas de apoio financeiro e recuperação para agricultores afetados por tempestades e fenómenos meteorológicos extremos.,53,strong,0.68016,0.731026,0.770298,0.800913,0.841975,0.826604,0.7603,109;1137;125;13;1378;139;149;1543;160;164;186;1999;2277;2284;2687;2690;2702;2706;2938;2940;30;323;344;348;353;356;36;365;37;3971;4270;4455;492;498;5039;510;513;523;524;525;689;714;791;800;807;808;817;823;825;908;93;954;964
taxonomy_v2,6,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",areas_protegidas_e_informacao_ambiental,Áreas protegidas e informação ambiental,"Propostas sobre acesso, taxas, visitação e informação pública relativa a áreas protegidas, classificadas ou património ambiental.",1,low,1.0,1.0,1.0,1.0,1.0,1.0,0.82,5367
taxonomy_v2,7,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",biodiversidade_especies_e_patrimonio_natural,"Biodiversidade, espécies e património natural","Propostas sobre conservação de espécies, raças autóctones, biodiversidade, recursos genéticos, património natural e critérios ambientais em acordos comerciais.",5,medium,0.76792,0.767924,0.767929,0.767941,0.820095,0.821712,0.7579,2078;3366;3961;554;794
taxonomy_v2,8,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",comunidades_de_energia_renovavel_e_pobreza_energetica,Comunidades de Energia Renovável e Pobreza Energética,Propostas que recomendam estratégias para desenvolvimento e democratização das comunidades de energia renovável e combate à pobreza energética.,25,strong,0.801032,0.818416,0.826372,0.85024,0.859739,0.866159,0.8164,1114;1239;1512;1639;1941;1976;272;2989;3168;3362;3492;3576;3708;371;494;540;541;5471;694;73;771;818;822;852;933
taxonomy_v2,9,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",gestao_e_conservacao_dos_recursos_hidricos_e_regadio,Gestão e Conservação dos Recursos Hídricos e Regadio,"Propostas relacionadas com a gestão da água, combate à seca, modernização do regadio e proteção dos recursos hídricos em Portugal.",86,strong,0.673237,0.740423,0.766159,0.804453,0.838735,0.827943,0.7562,1163;1313;1368;1516;1524;1553;1565;1727;1928;1930;2005;2010;2018;2033;2042;2088;2111;2116;2146;2232;2239;2245;2246;2256;2257;2264;2299;2310;2321;2328;2345;2346;2353;2354;2357;2358;2360;2380;2465;2603;2632;2644;2651;2656;2668;2669;2670;2686;2711;2752;2758;2793;2866;2881;2937;2945;2952;2961;2976;3153;3162;3244;3255;3391;3589;3687;3731;3825;3843;3965;4063;4385;4431;4449;4587;4640;5054;5176;5217;5219;5332;5338;5369;5453;5552;5573
taxonomy_v2,10,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",implementacao_da_lei_de_bases_do_clima_e_metas_de_reducao_de_emissoes,Implementação da Lei de Bases do Clima e Metas de Redução de Emissões,"Propostas que recomendam o cumprimento e execução da Lei de Bases do Clima, com foco em metas para 2030 e redução de gases de efeito estufa.",19,strong,0.76264,0.785703,0.804316,0.862258,0.885946,0.880774,0.7943,1299;1309;1335;1402;16;1936;1946;1950;231;2640;2642;2959;3010;3249;3585;4199;809;892;961
taxonomy_v2,11,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",infraestruturas_agricolas_pecuarias_e_pesca,"Infraestruturas agrícolas, pecuárias e pesca","Propostas sobre infraestruturas de apoio à produção agrícola, pecuária e pesqueira, incluindo matadouros regionais e condições setoriais.",1,low,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1514
taxonomy_v2,12,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",medidas_de_apoio_e_mitigacao_de_incendios_florestais_e_fenomenos_naturais,Medidas de Apoio e Mitigação de Incêndios Florestais e Fenómenos Naturais,"Propostas relacionadas com apoio às vítimas, mitigação de danos e políticas para incêndios florestais e eventos climáticos extremos.",45,strong,0.71398,0.766063,0.77905,0.794791,0.82344,0.831686,0.7691,1014;1035;1255;1275;1440;1794;1801;255;267;2774;2776;288;3019;3081;3139;3272;3413;374;3894;396;3984;405;4168;425;4273;4277;430;444;4481;449;4901;5410;564;587;618;630;641;646;680;722;736;760;870;872;882
taxonomy_v2,13,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",prevencao_e_recuperacao_ambiental_do_parque_natural_da_serra_da_estrela,Prevenção e recuperação ambiental do Parque Natural da Serra da Estrela,"Propostas que recomendam medidas para prevenção de incêndios, reflorestação e conservação ecológica no Parque Natural da Serra da Estrela e áreas florestais protegidas.",59,strong,0.744519,0.779947,0.789279,0.824119,0.846997,0.846434,0.7793,1158;1161;118;119;1304;1329;1330;1337;1345;135;1352;1360;1515;1536;1547;1721;1722;1731;1732;1838;1840;1841;1914;1938;1951;1952;1997;2099;2218;2243;2244;2308;2416;2473;2629;2636;2638;2723;2804;2949;3149;3202;3212;330;3545;3681;3877;3963;4066;4666;477;488;5059;539;695;780;789;910;918
taxonomy_v2,14,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",producao_agricola_sustentavel_e_protecao_ambiental,Produção Agrícola Sustentável e Proteção Ambiental,"Propostas que promovem a produção agrícola nacional sustentável, proteção do espaço marítimo e avaliações de impacto ambiental.",70,strong,0.716006,0.735692,0.740195,0.769605,0.791677,0.790672,0.74,1395;1422;1611;1644;1733;1792;1895;1903;2022;2027;2036;2070;2090;2097;2128;2135;2268;2340;2369;2373;2391;2411;2413;2492;2627;2694;2751;2757;2823;2873;2968;2981;2984;299;3013;3040;3067;3135;3204;3352;3393;3405;3457;3612;3725;3860;3933;3936;3994;41;4151;4206;4276;4278;4367;4462;4819;4875;4924;5045;5047;5177;5214;5286;5361;5425;5430;5435;5569;5585
taxonomy_v2,15,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",protecao_ambiental_e_valorizacao_de_espacos_verdes_municipais,Proteção ambiental e valorização de espaços verdes municipais,"Propostas focadas na preservação, valorização ecológica e classificação de áreas verdes urbanas, como a Quinta dos Ingleses em Cascais.",59,strong,0.689501,0.716427,0.728288,0.786877,0.839256,0.821251,0.74,1164;1165;124;1343;136;1526;1530;1534;1564;1568;1927;1933;1977;2013;21;22;2249;2270;2290;2315;2319;2606;2614;2618;2626;2633;2650;2661;2675;2678;2692;2696;2701;2714;29;2953;2967;3163;3190;3234;336;337;3384;3427;3529;3552;3639;364;368;3698;3730;3892;3902;40;4247;485;535;925;928
