taxonomy_version,centroid_index,parent_topic_slug,parent_topic_label,description,support_count,subtopic_count,support_quality,similarity_min,similarity_p05,similarity_p10,similarity_p25,similarity_median,similarity_mean,source_project_law_ids
taxonomy_v2,0,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,,136,5,strong,0.650212,0.687675,0.700648,0.723644,0.764404,0.761813,1008;1017;1019;1031;1057;1075;1076;1104;1224;1244;1250;1252;1295;1398;1401;1424;1426;1429;1443;1454;1462;1624;1633;1641;1646;1654;1669;1670;1671;1674;1678;1685;169;1695;1779;1796;1807;1808;1873;1875;1892;1935;1969;1972;2059;211;212;2123;214;2164;2167;2214;2215;2217;2286;2289;2374;2479;2522;2570;2665;2713;2764;279;2833;2834;2858;2901;2902;2905;2980;3050;3062;3090;3095;3107;3112;3144;318;3246;3274;3278;35;3627;3686;3742;3747;375;380;392;408;422;4380;4559;46;4787;5152;5153;5161;5164;5172;5221;5227;5238;5270;5275;5282;5294;5310;5311;5312;5313;5315;5346;5362;5363;5505;5533;5534;5535;5536;5543;5589;651;725;730;734;78;8;827;864;87;871;900;901;977
taxonomy_v2,1,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",,512,13,strong,0.619607,0.694067,0.708391,0.738383,0.770776,0.765464,1014;1020;1035;109;1114;1137;1155;1158;1161;1163;1164;1165;118;1181;119;1239;124;125;1251;1254;1255;1273;1275;1280;1299;13;1304;1309;1313;1329;1330;1335;1337;1343;1345;1347;135;1352;136;1360;1361;1368;1378;139;1395;1402;1422;1440;1458;1468;149;1512;1514;1515;1516;1524;1526;1530;1534;1536;1543;1547;1553;1563;1564;1565;1568;1578;16;160;1611;1618;1621;1628;1639;164;1644;1663;1675;1676;1687;1688;1703;1721;1722;1727;1731;1732;1733;1735;1766;1792;1794;1801;183;1838;1840;1841;1846;186;1895;1903;1914;1920;1927;1928;1930;1933;1936;1938;1941;1946;1948;1950;1951;1952;1954;1976;1977;1979;198;1997;1999;2005;2010;2013;2018;2022;2027;2033;2036;2042;2064;2070;2078;2088;2090;2097;2099;21;2102;2111;2115;2116;2128;2135;2146;22;2218;222;2225;2232;2239;2243;2244;2245;2246;2249;2256;2257;2264;2268;2270;2277;2284;2290;2299;2308;231;2310;2314;2315;2319;2321;2328;2340;2345;2346;2353;2354;2357;2358;2360;2369;2373;2380;2391;2400;2405;2411;2413;2416;2454;2465;2473;2492;2519;255;2603;2606;2614;2618;2626;2627;2629;2632;2633;2636;2638;2640;2642;2644;2650;2651;2656;2661;2663;2668;2669;267;2670;2675;2678;2686;2687;2690;2692;2694;2696;2701;2702;2706;2711;2714;272;2722;2723;2737;2751;2752;2755;2757;2758;2774;2776;2793;2804;2814;2823;2831;285;2859;2866;2873;288;2881;29;2937;2938;2940;2945;2949;2952;2953;2959;2961;2967;2968;2976;2981;2984;2989;299;30;3010;3013;3019;3040;3067;3081;3135;3139;3149;3153;3160;3162;3163;3168;3190;3202;3204;3212;323;3234;3244;3249;3255;3272;3273;3290;330;3349;3350;3352;336;3362;3366;337;3384;3391;3393;3405;3409;3413;3427;344;3457;3465;348;3492;3529;353;3545;3552;356;3576;3585;3589;36;360;3604;3612;3639;364;3642;365;368;3681;3687;3698;37;3708;371;3725;3730;3731;374;3758;3825;3843;3860;3877;3892;3894;3902;3933;3936;396;3961;3963;3965;3971;3984;3992;3994;40;405;4063;4066;41;4151;4165;4166;4168;4199;4206;424;4247;425;4255;4270;4273;4276;4277;4278;4283;430;4317;4367;4385;4431;444;4449;4455;4462;4481;449;4583;4587;462;4640;4666;4671;477;4819;4828;485;4875;488;4884;4889;4901;492;4924;4927;494;498;5039;5045;5047;5054;5059;51;510;513;5176;5177;5187;5213;5214;5217;5219;523;5239;524;525;5286;5332;5338;535;5361;5367;5369;539;540;541;5410;5425;5430;5435;5453;5468;5471;5499;554;5552;5569;5573;5585;564;578;587;618;628;629;630;633;641;646;674;680;689;690;694;695;714;722;73;736;760;771;780;789;791;794;800;807;808;809;817;818;822;823;825;852;861;870;872;879;882;892;908;910;918;925;928;93;933;954;961;964;968
taxonomy_v2,2,educacao_e_inclusao_social,Educação e Inclusão Social,,573,17,strong,0.666215,0.704948,0.725163,0.755109,0.786182,0.781148,1004;1011;1013;1023;1056;1058;1085;11;1111;1117;1128;1129;113;1130;1143;1154;1159;116;1170;1171;1174;1175;1196;120;1203;1208;121;123;1230;1231;1233;1238;1243;1245;1248;1256;1259;1265;1286;1310;1346;1354;1357;1365;1366;1367;1376;1391;1392;1397;1403;1414;1420;1436;1437;1438;1439;1441;1464;1476;1481;1487;1492;1493;1494;1505;1519;1523;1527;1533;1535;1555;1556;1558;1569;1570;1575;1586;1590;1596;1598;1601;1602;1603;1605;1606;1608;1612;1613;1637;1640;1657;1664;1680;1684;1686;1696;1697;17;1709;1710;1723;1725;1739;1741;1744;1745;1746;1753;1762;1776;1777;1782;1783;1785;1790;1793;1797;1800;1802;1803;1814;1823;1829;1830;1835;184;1851;1857;1908;1919;1923;1924;1945;1959;1960;1961;1964;1978;1982;1984;1990;1996;2002;2003;201;2016;2029;2046;2056;2060;2077;2089;209;2101;2113;2114;2118;2119;2127;2142;2150;2158;2168;2171;2179;2186;2190;2198;2205;2210;2230;2231;224;2266;227;2276;2278;2285;2287;23;2300;2302;2304;2309;2313;2316;232;2332;2335;2339;2342;236;2363;2364;2367;2370;2376;238;239;2398;2402;2420;2422;2428;2442;2446;2447;2448;2453;2455;2458;2487;2499;2501;2545;2547;2549;2550;2552;2558;256;2561;2562;2574;2580;259;2591;2593;26;2607;2609;2610;2612;2620;2624;2628;2634;2648;2662;2664;2671;2676;2681;2682;2698;2705;2707;2716;2717;2721;2730;2736;2742;2743;2744;2745;2753;277;2773;2777;2778;2781;2796;2797;2800;2805;2815;2822;2840;2841;2842;2844;2863;2872;2877;2883;2886;2887;289;2894;290;2903;2904;2911;2934;294;2943;2948;2956;2957;296;2960;2965;2969;2971;2975;2977;2994;2997;3;3002;3004;3017;3020;3036;3043;3044;3045;307;3071;3072;3073;3076;3079;3088;3091;3096;3098;3115;3117;3128;3129;3133;3150;3152;3154;3157;3158;3182;3184;3192;3199;3209;3213;325;3257;326;3264;327;3275;3301;3341;3368;34;340;3431;345;3523;3524;3528;3539;3547;3565;3569;3574;358;3586;361;3632;3635;3638;3640;3641;3643;3700;3768;377;3775;384;3856;387;389;390;3901;3947;398;4002;4005;403;4056;4057;4059;406;4074;4084;4090;412;4157;4159;416;4167;4176;420;4204;4245;4254;4257;4258;4293;4296;4320;4368;437;4371;4375;4377;4415;4443;4446;4451;4453;4473;450;452;4554;456;4573;461;465;4658;4660;4663;4665;4667;4684;4685;470;473;476;4779;4781;4805;483;4831;487;489;4898;491;493;501;5028;5030;5037;5061;5068;5077;509;5091;5096;511;512;5166;5183;5185;5199;5202;522;5224;5234;5237;5240;526;5267;5297;5299;530;531;5322;5350;5356;5357;5366;5374;5375;5376;5380;5383;5386;5391;5393;54;5406;5415;5426;5454;5461;5463;5467;5476;5481;5484;5485;5491;5492;5496;5497;5500;5501;5517;5526;553;5544;5548;5549;5550;5551;5556;556;5570;5571;5575;5588;559;5599;5601;5606;5608;561;565;569;572;592;596;6;60;606;613;615;622;634;645;647;648;652;660;673;701;707;710;712;713;733;739;741;743;744;758;765;766;779;785;786;801;834;850;857;877;885;890;919;921;923;926;937;955;958;966;974;986;990;996;997
taxonomy_v2,3,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",,457,18,strong,0.61055,0.705522,0.71491,0.739623,0.766918,0.768572,100;1009;101;1012;102;1032;1041;1043;1048;1053;1064;1065;1066;1071;1077;1079;1081;1086;1091;1094;1095;1099;1173;1214;1228;1234;1236;1285;1289;1293;1298;1316;1326;1331;1333;1336;1386;1407;1409;1430;1450;1455;1461;1486;1491;1495;1497;1507;1548;1560;1617;1622;1623;1630;1645;1649;1677;1704;1707;1711;1713;1717;1759;1761;1768;1769;1772;1774;1787;1788;18;1815;1816;1826;1866;1867;1870;1874;1878;1880;1888;1893;1896;1897;1899;1904;1910;1921;1922;1925;1944;1962;2;200;202;2045;2048;2053;2058;2062;2065;2074;2076;2079;2081;2082;2093;2094;2105;2109;2122;2125;2133;2149;2151;216;2165;2170;2185;2188;2193;2195;220;2204;2206;2219;2220;2221;2223;2228;2255;2260;2261;2263;2350;2361;2362;2365;2409;2412;2424;2429;2436;2437;2451;2461;2463;2464;2482;2530;2551;2556;2571;2573;2575;2577;2581;2582;2587;2592;2594;260;2604;2611;2615;2617;262;2695;2697;2699;271;2710;2726;2727;2749;276;2766;2767;2769;2775;2779;2780;2783;2791;2792;2794;28;280;2802;2803;2818;283;2836;2850;2856;287;2874;2878;2884;2892;2896;2906;2914;2917;2919;292;2928;2929;2930;2935;2936;2939;2942;2964;2966;2983;2985;2986;3000;301;3014;3016;3018;3024;3032;3033;304;3048;3055;3056;3063;3066;3069;309;3101;3108;3118;313;3138;3147;315;317;3197;3268;3339;3389;3458;3495;3520;3562;3615;3628;3633;3658;3853;3896;39;3927;3953;3966;3969;3999;4;4073;4076;410;4125;4131;4140;4153;4164;4169;4170;4174;4178;4202;4261;4275;4281;429;4305;4308;4314;435;4363;4373;4388;4391;4410;4428;445;4454;447;4523;454;455;4551;4553;4555;4556;4557;4565;4576;4577;4579;4580;459;468;4682;4688;469;4798;4818;4925;4937;4946;4949;503;5038;5044;507;5082;5106;5115;5116;5117;5119;5124;5125;5128;5144;5145;5159;5181;5189;5193;5194;5195;5196;5200;5201;5205;5209;5212;5216;5225;5228;5233;5236;5246;5249;5254;5257;5258;5260;5261;5263;5264;5266;5276;5278;5279;5283;5287;5289;5291;5298;5305;5318;532;5320;5324;5325;5327;5333;5348;5349;5352;5359;5371;5373;5379;5382;5385;5401;5408;5416;5419;5424;5432;5433;5436;5437;5438;5443;5448;5449;546;5462;5465;5478;5479;5483;5486;550;5503;5504;5509;5511;5515;5523;5527;5545;5557;5559;5562;5579;5591;5614;568;571;573;579;585;595;61;612;626;627;636;644;656;662;667;668;670;672;675;678;681;72;729;748;769;770;814;82;873;903;905;912;934;94;978;983;987;995
taxonomy_v2,4,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",,308,13,strong,0.614623,0.665561,0.695013,0.730401,0.762037,0.755031,1002;1015;1028;1049;1067;1078;1080;1102;1103;1105;1121;1140;1141;1146;1172;1180;1182;1197;1219;1229;1249;1266;1272;1279;1283;1284;1296;1297;130;1301;1327;1339;1363;1369;138;1383;14;1423;1463;1471;1473;148;1484;1489;1496;1498;1525;154;156;1562;1574;1581;1609;162;163;1658;1667;168;1690;1692;1693;1705;1706;171;1747;1760;1773;180;1818;1820;1843;1871;188;1894;1918;1953;1993;2025;2026;203;2055;2106;2136;2138;2147;2213;2312;2396;24;2404;2433;2434;2440;2452;2462;2470;2472;2476;2484;2498;2500;2504;2513;2540;2560;2572;2599;2600;2649;2725;2729;2747;2748;2750;2786;2787;2816;2817;2819;2820;2824;2849;2867;2869;2880;2890;2893;2907;2913;2918;2921;2923;2924;2932;2951;2955;2978;2990;3015;3022;3028;3030;3038;3046;3078;308;3089;3094;310;3104;311;3140;319;3198;320;3247;3277;3295;3374;342;3421;3428;3437;3451;3522;359;3593;3603;362;3677;3689;3723;3773;3782;3784;3824;3846;3925;397;3975;4156;4214;4244;4294;4295;4300;4370;4392;4460;4495;45;4552;4561;4581;464;466;4701;4767;4775;4912;4950;5;500;5036;5046;5048;5051;5052;5062;5066;5072;5121;5143;5146;5155;5160;5168;518;5180;5188;5190;5192;5197;5204;5215;5220;5230;5245;5248;5253;5262;5269;5272;5274;5280;5284;5288;5292;5296;5317;5321;5323;5326;5328;5330;5336;5337;5340;5353;5354;5355;5358;5364;5370;5378;5397;5398;5403;5412;5414;5417;5421;5422;5429;5434;5439;5440;5458;5477;5489;5524;5561;5574;5576;5577;5578;5582;560;5602;5612;594;625;65;666;67;700;705;717;75;751;767;824;84;840;841;844;868;878;899;906;911;929;930;95;950;957;963;972
taxonomy_v2,5,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",,283,5,strong,0.666274,0.738794,0.751848,0.779779,0.81766,0.817073,10;1005;1025;1040;1046;1051;106;1060;1069;1084;1089;1100;1124;1125;1152;1194;1210;1211;1213;1215;1218;1226;1232;1241;1247;1278;1292;1294;1318;1324;1334;1384;1406;1408;1412;1446;1448;1449;1472;150;152;1610;1616;1626;1627;1632;1635;1642;1786;1791;1795;1799;1836;1863;1901;1907;1909;1947;1981;1992;2019;2054;2072;2075;2083;2085;2086;2087;2092;2098;210;2108;2120;2121;2129;2130;2139;2141;2144;2145;2153;218;2187;2194;2197;2208;2209;2226;2227;2229;2233;2235;2236;2252;2320;2322;2343;2356;2389;2393;2395;2406;2407;2408;242;2425;2460;2466;2467;2475;2494;2507;2509;2517;2518;2520;2523;2528;2529;2555;2566;2597;2641;2643;2657;273;2768;2788;2789;2790;2809;2812;2813;2830;2848;2851;2852;2860;2861;2895;2908;2950;2954;2962;2979;2987;300;3006;3025;3029;3035;3041;3051;3052;3053;3054;3057;3064;3080;3084;3092;3099;3105;3110;3114;3116;3119;3120;3123;3141;3143;3145;3251;3279;3322;334;3342;3343;338;3491;3605;3637;366;3732;3884;3932;4051;4068;4100;411;4115;4248;436;441;4499;4569;457;4683;480;4824;4825;4888;49;50;5034;5107;5114;5120;5122;5129;5162;5178;5184;5186;5198;5206;5210;5218;5222;5226;5229;5273;5290;5300;5303;5308;5319;5335;5344;5345;5347;5360;5368;5392;5399;544;5442;5452;5455;5469;5472;5473;5475;5498;5506;5540;5560;5563;5564;5586;5590;5593;5594;5595;5596;5597;5610;566;581;600;609;643;704;731;750;764;774;776;790;83;839;85;855;858;874;875;881;883;902;949;953;98;998
taxonomy_v2,6,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas","Propostas sobre crimes, processo penal, segurança interna, violência doméstica, crimes sexuais e proteção de vítimas.",288,8,strong,0.588905,0.684002,0.701164,0.744798,0.795856,0.789699,1007;1016;1026;103;1033;1034;104;1061;108;1098;1101;1108;1138;1149;1192;1193;12;1262;1263;1267;1338;1341;1374;1375;1387;1405;1453;1456;1465;1470;1528;1537;1539;1544;1554;1572;1582;1648;1651;1659;1661;1682;1758;1804;1845;1869;1879;1882;1887;1937;1956;1974;1986;1987;1988;1989;1991;1998;2007;2008;2009;2024;204;2044;2051;2068;2126;2152;2175;2180;2182;2207;2222;2224;226;2293;230;2329;2337;2338;2351;2378;2385;2386;2392;2426;2435;2443;2457;2478;2485;2488;2497;2502;2503;2506;2510;2526;2527;2533;2535;2536;2538;2539;2546;2564;2583;2584;2588;2601;2683;2684;2685;2691;2700;2708;2732;2738;2739;2740;2741;2746;2771;2795;282;2821;2835;2843;2847;286;2875;2876;2888;2891;2900;2915;2916;2926;2996;2999;3011;3012;302;3039;3058;3075;3086;3093;3122;3142;3159;3194;3283;341;3433;3438;3440;3441;3483;3626;3631;3709;38;3857;3924;3944;3954;4000;4083;4141;4152;4160;4162;4177;418;42;4200;423;4298;4315;4316;4384;4411;446;4496;4514;453;4550;4558;4560;4572;472;4777;4829;4871;5016;506;5110;5112;5126;5127;5131;5132;5133;5134;5138;5141;5148;5149;5150;5156;5157;5170;5174;5182;5250;5251;5268;5271;5277;5281;5302;5304;5307;5309;5331;5377;5381;5388;5400;5402;5411;5441;5447;5507;5513;5514;5516;5519;5528;5529;5530;5531;5532;5538;5542;5554;5584;567;58;582;584;586;589;590;591;593;603;611;62;621;631;637;64;658;66;664;679;71;723;757;76;762;763;768;772;787;849;853;859;884;90;904;907;932;936;962;999
taxonomy_v2,7,nacionalidade_migracao_e_asilo,"Nacionalidade, Migração e Asilo","Propostas sobre nacionalidade, autorização de residência, vistos, asilo, imigração e direitos dos cidadãos estrangeiros.",108,1,strong,0.639993,0.707303,0.733938,0.783197,0.822301,0.818126,1;1045;1047;1059;1074;1093;1139;1187;1237;1242;1290;1348;137;1385;1413;1445;1447;1475;1482;1545;1585;1650;1652;1653;1712;1831;185;1856;1890;1891;1905;2014;2015;2021;2043;206;2063;213;2155;2216;2241;2248;235;2368;237;2371;2372;2384;2410;2469;2537;2542;2688;2731;2759;2761;2910;2912;2922;2925;2931;2982;2992;3001;3003;3021;303;3111;316;3323;3463;3531;3955;3991;4154;4161;417;4279;4287;4584;4662;467;515;5223;5255;5341;5390;5395;5396;5413;5444;5446;5494;5510;5518;5565;5572;575;616;669;745;860;862;869;897;915;92;943
taxonomy_v2,8,politica_externa_e_relacoes_internacionais,Política Externa e Relações Internacionais,"Propostas sobre relações internacionais, reconhecimento diplomático, conflitos externos e posições públicas de Portugal em matéria internacional.",108,3,strong,0.583362,0.649812,0.682403,0.762259,0.808347,0.78908,107;1120;1123;1133;1144;1156;1166;1176;1177;1190;1204;1206;1317;134;1372;1373;1381;1400;1404;144;151;1510;153;1557;1571;1599;1604;166;170;1729;1743;1751;1752;1770;1778;1828;1854;1859;1884;19;1934;1949;1955;2080;2100;2110;2112;2154;2196;2211;2281;2292;2295;2438;2439;2480;2481;2486;25;2559;2569;2589;2608;2647;2666;2762;2810;2885;2898;2946;3034;3136;3660;3701;372;378;4776;505;519;5231;533;537;5541;639;642;688;696;702;706;708;715;716;804;813;815;828;829;830;845;913;917;927;951;952;960;965;976;980
taxonomy_v2,9,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",,842,22,strong,0.547025,0.694649,0.721044,0.751928,0.774838,0.769584,1000;1001;1003;1006;1018;1022;1024;1027;1029;1042;1044;105;1054;1055;1062;1068;1070;1072;1082;1087;1088;1090;1097;110;1106;1107;1109;111;1110;1113;1119;1122;1126;1127;1131;1132;114;1142;1147;1148;115;1150;1151;1153;1157;1167;1168;1169;117;1178;1179;1183;1184;1185;1186;1189;1191;1201;1202;1205;1212;1217;1220;1222;1246;1253;1257;1258;1260;1261;1268;1269;1270;1271;1276;1277;1281;1282;1288;1291;1300;1302;1303;1305;1306;1307;1308;1312;1314;1315;1320;1321;1325;1340;1344;1349;1350;1358;1359;1362;1364;1370;1377;1388;1389;1393;1396;1399;1416;1418;1419;1421;1425;1428;1431;1433;1434;1442;1444;145;1457;1459;1466;1467;1474;1477;1478;1480;1485;1490;1500;1501;1502;1504;1506;1508;1509;1513;1518;1521;1532;1540;1541;155;1552;1561;157;1576;1579;158;1583;1584;1587;159;1591;1595;1597;1607;161;1614;1619;1620;1625;1634;1638;1655;1656;1660;1662;1665;1668;167;1672;1679;1681;1689;1698;1699;1700;1701;1702;1708;1728;1730;1734;1736;1737;1740;1742;1748;1749;175;1750;1754;1756;1764;1765;1767;1775;1798;1805;1806;1809;181;1810;1811;1817;1819;182;1822;1824;1825;1827;1832;1833;1837;1839;1842;1844;1847;1848;1849;1850;1852;1853;1855;1861;1862;1864;1865;187;1876;1877;1881;1883;1885;1889;189;1906;191;1916;1929;1932;1939;1940;1942;1943;1957;1958;1965;1966;1968;1970;1973;1975;1980;1983;1985;1994;1995;20;2000;2001;2004;2006;2012;2017;2020;2023;2028;2030;2031;2032;2034;2038;2040;2041;2047;2052;2066;2067;2069;2071;2073;208;2084;2091;2131;2132;2134;2140;215;2156;2157;2159;2161;2166;2177;2178;2181;2183;2184;2189;219;2191;2192;2203;223;2234;225;2251;2267;2269;2273;2279;228;2280;229;2291;2294;2296;2297;2298;2301;2305;2311;2317;2318;2323;2324;2325;2326;2327;233;2331;2333;2334;2336;2347;2348;2349;2352;2355;2366;2379;2381;2382;2390;240;2403;241;2414;2415;2417;2418;2419;2423;2427;243;2430;2445;245;2450;2456;2459;246;247;2471;2474;2477;248;249;2496;250;2505;251;2511;2512;2516;2521;2524;2525;2532;2534;254;2541;2543;2553;2554;2568;2578;2579;258;261;2621;2622;2623;2630;2631;2637;264;2646;2652;2653;2655;2658;2659;2660;2672;2673;2674;2679;268;269;270;2703;2704;2709;2712;2715;2718;2719;2724;2733;2734;274;275;2754;2763;2770;2782;2785;2806;2825;2828;2832;2838;284;2846;2857;2862;2865;2868;2871;2879;2897;2899;2909;291;2927;2947;295;2963;2970;2972;2973;2991;2995;3007;3008;3009;3031;3060;3061;3065;3068;3070;3082;3085;3087;31;3106;3109;3113;3121;3124;3125;3126;3130;3131;3132;3137;3148;3156;3161;3201;3208;321;3221;3229;3230;3232;3250;328;329;331;332;333;3340;335;3363;339;3402;3453;3472;349;350;351;352;3521;3525;3526;3527;3532;3557;3566;357;3583;3614;3629;3630;3634;3636;3645;3646;3647;3648;3657;367;3690;3693;370;3712;3719;376;3774;382;3823;383;385;386;3861;3865;3867;3873;3895;391;3917;3919;3923;393;395;3956;3960;3967;399;400;401;402;404;409;413;414;415;4155;4158;4249;4250;4251;4253;4259;427;4271;4289;43;431;4310;4313;432;4369;438;4383;4386;439;4393;4448;4463;4477;4478;4491;4501;4505;4508;4511;4513;4546;4563;4566;4567;4568;4574;4578;458;4669;4676;47;471;474;475;4768;4771;4780;4783;4784;479;481;4815;4820;484;486;4878;490;4926;4928;4948;4955;496;497;499;5013;502;5031;5040;5050;5055;5056;5060;5064;508;5083;5086;5087;5118;5151;5154;5158;516;5171;5175;52;520;5203;5207;5208;521;5235;5242;5243;5259;528;5285;529;5314;5316;5329;5334;534;536;5372;538;5384;5387;5394;5405;5409;542;5427;5428;5450;5456;5457;5460;5464;548;5482;5487;549;5490;5493;5495;55;5502;551;552;5537;5546;5547;5553;5566;5568;557;558;5583;5592;5603;5607;5609;5615;57;570;574;576;580;588;598;599;604;605;607;608;614;617;620;623;624;63;632;635;649;655;665;671;677;68;682;683;684;685;686;693;697;698;699;7;703;711;718;719;720;721;724;726;727;728;732;735;737;738;74;740;746;747;749;752;754;755;759;761;77;773;775;781;783;784;788;792;793;795;796;797;798;799;802;803;805;806;81;811;812;816;819;820;821;826;833;835;836;838;843;846;847;848;854;856;86;863;865;866;867;876;887;888;889;89;891;893;894;898;9;909;914;920;922;924;941;945;947;948;956;959;96;967;969;973;979;981;982;989;99;992;993;994
