taxonomy_version,level,slug,label,parent_slug,description,display_order,source_cluster_ids
taxonomy_v2,topic,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,,,1,"0,1,2,54,98"
taxonomy_v2,subtopic,alteracao_de_denominacao_de_unioes_de_freguesias,Alteração de denominação de uniões de freguesias,administracao_territorial_e_organizacao_local,"Propostas que tratam da mudança de nome ou denominação oficial de uniões de freguesias, especialmente após reorganizações administrativas.",,2
taxonomy_v2,subtopic,alteracao_e_delimitacao_de_limites_territoriais_de_freguesias,Alteração e delimitação de limites territoriais de freguesias,administracao_territorial_e_organizacao_local,"Projetos que propõem mudanças nos limites territoriais entre freguesias e uniões de freguesias, incluindo delimitações e reorganizações administrativas.",,1
taxonomy_v2,subtopic,descentralizacao_e_regionalizacao_dos_servicos_publicos,Descentralização e regionalização dos serviços públicos,administracao_territorial_e_organizacao_local,"Propostas que abordam a descentralização administrativa, regionalização, deslocalização de serviços públicos e coesão territorial.",,54
taxonomy_v2,subtopic,elevacao_de_povoacoes_a_categoria_de_vila,Elevação de povoações à categoria de vila,administracao_territorial_e_organizacao_local,"Propostas legislativas que tratam da elevação de povoações e freguesias à categoria oficial de vila, com fundamentação histórica e cultural.",,0
taxonomy_v2,subtopic,financiamento_e_gestao_financeira_das_autarquias,Financiamento e gestão financeira das autarquias,administracao_territorial_e_organizacao_local,"Propostas relacionadas com o regime financeiro das autarquias locais, endividamento municipal e gestão territorial.",,98
taxonomy_v2,topic,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",,,2,"26,57,59,61,68,70,71,75,82"
taxonomy_v2,subtopic,apoio_a_agricultores_e_recuperacao_pos_tempestades,Apoio a Agricultores e Recuperação Pós-Tempestades,ambiente_energia_e_agricultura_sustentavel,Propostas que recomendam medidas de apoio financeiro e recuperação para agricultores afetados por tempestades e fenómenos meteorológicos extremos.,,70
taxonomy_v2,subtopic,comunidades_de_energia_renovavel_e_pobreza_energetica,Comunidades de Energia Renovável e Pobreza Energética,ambiente_energia_e_agricultura_sustentavel,Propostas que recomendam estratégias para desenvolvimento e democratização das comunidades de energia renovável e combate à pobreza energética.,,61
taxonomy_v2,subtopic,gestao_e_conservacao_dos_recursos_hidricos_e_regadio,Gestão e Conservação dos Recursos Hídricos e Regadio,ambiente_energia_e_agricultura_sustentavel,"Propostas relacionadas com a gestão da água, combate à seca, modernização do regadio e proteção dos recursos hídricos em Portugal.",,71
taxonomy_v2,subtopic,implementacao_da_lei_de_bases_do_clima_e_metas_de_reducao_de_emissoes,Implementação da Lei de Bases do Clima e Metas de Redução de Emissões,ambiente_energia_e_agricultura_sustentavel,"Propostas que recomendam o cumprimento e execução da Lei de Bases do Clima, com foco em metas para 2030 e redução de gases de efeito estufa.",,59
taxonomy_v2,subtopic,medidas_de_apoio_e_mitigacao_de_incendios_florestais_e_fenomenos_naturais,Medidas de Apoio e Mitigação de Incêndios Florestais e Fenómenos Naturais,ambiente_energia_e_agricultura_sustentavel,"Propostas relacionadas com apoio às vítimas, mitigação de danos e políticas para incêndios florestais e eventos climáticos extremos.",,57
taxonomy_v2,subtopic,prevencao_e_recuperacao_ambiental_do_parque_natural_da_serra_da_estrela,Prevenção e recuperação ambiental do Parque Natural da Serra da Estrela,ambiente_energia_e_agricultura_sustentavel,"Propostas que recomendam medidas para prevenção de incêndios, reflorestação e conservação ecológica no Parque Natural da Serra da Estrela e áreas florestais protegidas.",,75
taxonomy_v2,subtopic,producao_agricola_sustentavel_e_protecao_ambiental,Produção Agrícola Sustentável e Proteção Ambiental,ambiente_energia_e_agricultura_sustentavel,"Propostas que promovem a produção agrícola nacional sustentável, proteção do espaço marítimo e avaliações de impacto ambiental.",,68
taxonomy_v2,subtopic,protecao_ambiental_e_valorizacao_de_espacos_verdes_municipais,Proteção ambiental e valorização de espaços verdes municipais,ambiente_energia_e_agricultura_sustentavel,"Propostas focadas na preservação, valorização ecológica e classificação de áreas verdes urbanas, como a Quinta dos Ingleses em Cascais.",,82
taxonomy_v2,subtopic,protecao_e_bem_estar_animal,Proteção e bem-estar animal,ambiente_energia_e_agricultura_sustentavel,"Iniciativas sobre prevenção de maus-tratos, proteção e bem-estar de animais, sobretudo animais de companhia.",,26
taxonomy_v2,topic,educacao_e_inclusao_social,Educação e Inclusão Social,,,3,"6,13,14,15,17,19,20,21,29,34,39,42,47,64,65"
taxonomy_v2,subtopic,acolhimento_familiar_e_adocao_de_criancas_e_jovens,Acolhimento familiar e adoção de crianças e jovens,educacao_e_inclusao_social,"Propostas sobre acolhimento familiar, adoção, proteção de crianças e jovens e apoio às famílias nesse contexto.",,34
taxonomy_v2,subtopic,apoio_social_e_alojamento_para_estudantes_do_ensino_superior,Apoio Social e Alojamento para Estudantes do Ensino Superior,educacao_e_inclusao_social,"Propostas relacionadas com medidas de apoio social, alojamento e complementos para estudantes do ensino superior, visando reduzir custos e promover equidade.",,65
taxonomy_v2,subtopic,carreira_e_progressao_dos_docentes,Carreira e progressão dos docentes,educacao_e_inclusao_social,"Propostas que abordam a carreira, progressão, tempo de serviço e condições laborais dos professores e docentes em geral.",,21
taxonomy_v2,subtopic,carreiras_e_valorizacao_dos_assistentes_escolares,Carreiras e valorização dos assistentes escolares,educacao_e_inclusao_social,"Propostas relacionadas com a criação, valorização e regulamentação das carreiras dos assistentes operacionais e técnicos nas escolas.",,20
taxonomy_v2,subtopic,educacao_inclusiva_e_apoio_a_alunos_com_necessidades_especiais,Educação inclusiva e apoio a alunos com necessidades especiais,educacao_e_inclusao_social,"Iniciativas que recomendam melhorias no regime jurídico da educação inclusiva, formação de professores e recursos para alunos com deficiência.",,29
taxonomy_v2,subtopic,ensino_da_lingua_portuguesa_e_manuais_escolares,Ensino da língua portuguesa e manuais escolares,educacao_e_inclusao_social,"Propostas que abordam o ensino do português, acesso ao ensino no estrangeiro e a disponibilização de manuais escolares para alunos.",,17
taxonomy_v2,subtopic,financiamento_e_acesso_as_refeicoes_escolares,Financiamento e acesso às refeições escolares,educacao_e_inclusao_social,Propostas que recomendam atualização do financiamento público e garantia de acesso às refeições escolares para crianças e jovens.,,14
taxonomy_v2,subtopic,gratuidade_e_limitacao_de_propinas_no_ensino_superior,Gratuidade e Limitação de Propinas no Ensino Superior,educacao_e_inclusao_social,"Propostas legislativas focadas na eliminação, redução ou limitação das propinas e outras taxas no ensino superior público para facilitar o acesso dos estudantes.",,64
taxonomy_v2,subtopic,identidade_e_expressao_de_genero_no_contexto_escolar,Identidade e expressão de género no contexto escolar,educacao_e_inclusao_social,"Propostas que tratam da autodeterminação da identidade de género, expressão de género e proteção das características sexuais no âmbito escolar.",,19
taxonomy_v2,subtopic,inclusao_de_estudantes_com_necessidades_educativas_especificas_no_ensino_superior,Inclusão de estudantes com necessidades educativas específicas no ensino superior,educacao_e_inclusao_social,Propostas que estabelecem regimes jurídicos e promovem a inclusão e autonomia de estudantes com necessidades educativas específicas no ensino superior.,,39
