taxonomy_version,ProjectLawId,ParliamentDocumentContentId,Legislature,parent_topic_slug,parent_topic_label,subtopic_slug,subtopic_label,assignment_method,assignment_status,assignment_confidence,cluster_id,cluster_probability,is_seed_assignment
taxonomy_v2,1,4212,XVII,nacionalidade_migracao_e_asilo,"Nacionalidade, Migração e Asilo",nacionalidade_residencia_e_direitos_dos_estrangeiros,"Nacionalidade, residência e direitos dos estrangeiros",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,25,1.0,True
taxonomy_v2,2,4314,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",reformas_e_regras_do_sistema_eleitoral_e_voto,Reformas e regras do sistema eleitoral e voto,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.45132739198483207,49,0.45132739198483207,True
taxonomy_v2,3,4414,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,inclusao_de_estudantes_com_necessidades_educativas_especificas_no_ensino_superior,Inclusão de estudantes com necessidades educativas específicas no ensino superior,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,39,1.0,True
taxonomy_v2,4,5,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",reforma_fiscal_e_tributacao_de_empresas,Reforma fiscal e tributação de empresas,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8622420810824649,96,0.8622420810824649,True
taxonomy_v2,5,4538,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.7814077734947205,-1,0.0,True
taxonomy_v2,6,7,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,saude_mental_em_escolas_e_ensino_superior,Saúde mental em escolas e ensino superior,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.6422584499760796,15,0.6422584499760796,True
taxonomy_v2,7,4537,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",acessibilidade_certificacao_e_direitos_das_pessoas_com_deficiencia,"Acessibilidade, certificação e direitos das pessoas com deficiência",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.5394615970733209,80,0.5394615970733209,True
taxonomy_v2,8,4535,XVII,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,financiamento_e_gestao_financeira_das_autarquias,Financiamento e gestão financeira das autarquias,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,98,1.0,True
taxonomy_v2,9,10,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",doencas_cronicas_e_comparticipacao_de_tratamentos,Doenças crónicas e comparticipação de tratamentos,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,28,1.0,True
taxonomy_v2,10,4627,XVII,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",credito_a_habitacao_e_taxas_de_juro,Crédito à habitação e taxas de juro,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.38929103011559235,88,0.38929103011559235,True
